X Y Z
-485261.875000 -1116001.750000 244.300003 
-485256.031250 -1116000.250000 244.190002 
-485252.187500 -1116000.375000 244.289993 
-485251.375000 -1116004.250000 244.320007 
-485251.125000 -1116000.750000 244.270004 
-485249.906250 -1116003.000000 244.309998 
-485239.875000 -1116001.250000 244.160004 
-485237.625000 -1116003.625000 244.110001 
-485237.437500 -1116001.375000 244.089996 
-485234.031250 -1116000.875000 244.089996 
-485233.656250 -1116001.750000 244.089996 
-485233.593750 -1116000.500000 244.039993 
-485232.812500 -1116006.000000 244.179993 
-485231.593750 -1116005.250000 244.229996 
-485231.375000 -1116003.625000 244.250000 
-485231.343750 -1116000.500000 243.949997 
-485230.218750 -1116003.875000 244.279999 
-485230.093750 -1116003.000000 244.240005 
-485228.750000 -1116003.500000 244.250000 
-485228.656250 -1116001.125000 243.990005 
-485227.593750 -1116006.875000 244.220001 
-485227.625000 -1116004.000000 244.190002 
-485227.468750 -1116001.500000 243.960007 
-485227.468750 -1116000.500000 243.899994 
-485226.468750 -1116002.000000 243.949997 
-485225.312500 -1116005.625000 244.070007 
-485225.000000 -1116001.000000 243.899994 
-485224.031250 -1116006.000000 244.050003 
-485222.718750 -1116004.125000 244.000000 
-485222.562500 -1116001.750000 243.919998 
-485222.000000 -1116001.250000 243.880005 
-485221.781250 -1116006.875000 244.059998 
-485221.687500 -1116005.625000 244.020004 
-485221.562500 -1116003.375000 243.880005 
-485221.375000 -1116001.000000 243.830002 
-485220.625000 -1116006.625000 243.929993 
-485220.062500 -1116001.375000 243.580002 
-485220.000000 -1116000.250000 243.529999 
-485220.531250 -1116008.375000 243.929993 
-485219.343750 -1116005.250000 243.550003 
-485219.031250 -1116004.000000 243.309998 
-485218.875000 -1116001.000000 243.080002 
-485217.656250 -1116003.250000 242.639999 
-485215.781250 -1116004.750000 241.839996 
-485215.562500 -1116001.250000 241.470001 
-485214.750000 -1116008.875000 241.789993 
-485214.687500 -1116007.750000 241.649994 
-485213.593750 -1116006.250000 240.929993 
-485213.500000 -1116003.875000 240.610001 
-485213.437500 -1116002.625000 240.350006 
-485267.500000 -1116031.500000 246.729996 
-485267.843750 -1116039.750000 247.869995 
-485267.656250 -1116037.375000 247.910004 
-485267.000000 -1116045.750000 247.750000 
-485266.437500 -1116038.875000 247.919998 
-485266.375000 -1116037.750000 247.990005 
-485266.250000 -1116036.500000 247.919998 
-485264.937500 -1116029.875000 246.080002 
-485262.593750 -1116008.125000 244.220001 
-485267.000000 -1116047.875000 247.839996 
-485265.468750 -1116042.750000 247.740005 
-485265.187500 -1116039.250000 247.960007 
-485265.093750 -1116038.125000 248.059998 
-485264.968750 -1116037.000000 248.000000 
-485263.718750 -1116027.875000 245.570007 
-485263.593750 -1116023.125000 244.759995 
-485263.531250 -1116022.000000 244.649994 
-485261.843750 -1116013.250000 244.330002 
-485261.187500 -1116004.000000 244.229996 
